gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,NumServices,AvgMonthlySpend,ChurnProbability,Actual_Churn,RiskCategory
1,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,3,21.05,113.85,1,18.974999999999998,0.3540347189737353,1,Medium Risk
1,0,0,0,52,1,0,2,0,0,0,0,0,0,2,0,0,21.0,1107.2,1,20.89056603773585,0.013410523411428408,0,Low Risk
0,1,1,0,25,1,0,1,0,1,1,0,1,1,0,1,2,98.5,2514.5,5,96.71153846153847,0.7551206739759362,1,High Risk
1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,20.2,20.2,1,10.1,0.46762034456465407,0,Medium Risk
0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,2,19.45,19.45,1,9.725,0.38014917432754114,0,Medium Risk
1,0,0,0,38,1,1,1,0,0,1,1,1,0,1,0,0,95.0,3605.6,4,92.45128205128205,0.29965770044815365,0,Low Risk
0,1,1,0,66,0,2,0,0,1,1,0,1,0,1,0,0,45.55,3027.25,3,45.18283582089552,0.10262796695338128,0,Low Risk
1,0,1,0,68,1,1,1,0,1,1,1,1,1,2,1,0,110.0,7611.85,6,110.31666666666668,0.20526268663624067,1,Low Risk
1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,3,24.3,100.2,0,16.7,0.6929274323942373,0,High Risk
0,0,1,1,72,1,1,1,1,1,0,0,1,1,1,1,2,104.15,7303.05,5,100.04178082191781,0.3606639374822122,0,Medium Risk
0,0,0,0,32,0,2,0,1,0,0,0,0,0,1,0,3,30.15,927.65,1,28.11060606060606,0.17375191591835967,0,Low Risk
1,0,0,0,43,1,1,1,0,0,0,0,1,1,1,0,3,94.35,3921.3,3,89.12045454545455,0.5616453039886374,0,Medium Risk
1,0,1,1,72,1,0,2,0,0,0,0,0,0,2,0,1,19.4,1363.25,1,18.674657534246574,0.005642182697010499,0,Low Risk
1,0,1,0,55,1,1,1,1,1,0,0,1,0,0,1,2,96.75,5238.9,4,93.55178571428571,0.6119656863789832,1,High Risk
0,0,0,0,52,1,0,0,1,0,1,1,0,0,1,0,1,57.95,3042.25,4,57.40094339622642,0.0340498691451419,0,Low Risk
0,0,0,0,43,1,0,1,0,1,1,0,1,0,0,1,2,91.65,3954.1,4,89.86590909090908,0.6024531263640499,0,High Risk
0,1,1,0,37,1,1,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,1,75.47763157894737,0.7155170364206623,1,High Risk
0,0,1,1,64,0,2,0,0,1,0,1,1,1,2,1,2,54.6,3423.5,4,52.66923076923077,0.07037727971958699,0,Low Risk
1,0,1,1,3,1,0,1,1,1,0,0,1,0,0,0,2,89.85,248.4,4,62.1,0.7495168474756928,0,High Risk
0,0,0,0,36,0,2,0,1,0,0,0,0,0,2,0,0,31.05,1126.35,1,30.44189189189189,0.05428138916280071,0,Low Risk
0,0,1,1,10,1,1,1,1,0,0,0,1,1,0,1,2,100.25,1064.65,4,96.78636363636365,0.7869685863512333,1,High Risk
0,0,0,0,41,1,0,2,0,0,0,0,0,0,2,0,3,20.65,835.15,1,19.88452380952381,0.025272699571056618,0,Low Risk
1,0,1,1,27,1,1,1,0,1,0,1,0,0,0,1,1,85.2,2151.6,3,76.84285714285714,0.5695315841515836,0,Medium Risk
0,0,1,1,56,1,1,1,0,0,1,0,1,1,1,1,1,99.8,5515.45,4,96.76228070175438,0.5031893217249157,0,Medium Risk
0,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,3,20.7,112.75,1,16.107142857142858,0.37030352227835606,0,Medium Risk
1,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,2,74.4,229.55,1,57.3875,0.8859675925674653,1,High Risk
0,0,1,1,7,1,0,0,1,0,0,0,0,0,0,0,3,50.7,350.35,2,43.79375,0.3533233412080731,0,Medium Risk
0,0,1,1,4,1,0,2,0,0,0,0,0,0,0,0,3,20.85,62.9,1,12.58,0.3692968583192948,0,Medium Risk
1,0,0,0,33,1,0,1,1,0,0,1,1,0,2,1,2,88.95,3027.65,4,89.0485294117647,0.13289668895937748,0,Low Risk
0,1,0,0,27,1,1,1,0,0,1,0,0,0,0,1,2,78.05,2135.5,2,76.26785714285714,0.704825587936341,1,High Risk
1,0,1,0,72,1,1,2,0,0,0,0,0,0,2,1,0,23.55,1723.95,1,23.615753424657534,0.016222350630100576,0,Low Risk
1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,19.75,19.75,1,9.875,0.4621630645864997,0,Medium Risk
1,1,0,0,71,0,2,0,1,1,0,0,1,1,1,1,2,56.45,3985.35,4,55.35208333333333,0.18057658803803847,0,Low Risk
0,0,0,0,13,1,1,1,0,0,0,0,0,1,0,1,2,85.95,1215.65,2,86.83214285714287,0.8139075749470411,0,High Risk
0,0,1,1,25,0,2,0,1,1,1,0,1,1,0,1,1,58.6,1502.65,5,57.79423076923077,0.4781938110846103,1,Medium Risk
1,0,0,0,67,1,0,0,0,0,0,1,0,0,2,0,0,50.55,3260.1,2,47.942647058823525,0.01544968041112229,0,Low Risk
1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,2,35.45,35.45,1,17.725,0.8930701510973914,1,High Risk
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25,1,27.083333333333332,0.6288803484257446,1,High Risk
0,0,0,0,43,1,1,2,0,0,0,0,0,0,2,1,1,25.7,1188.2,1,27.004545454545454,0.04269524961154416,0,Low Risk
0,0,0,0,23,1,0,1,1,0,0,0,0,0,0,1,0,75.0,1778.5,2,74.10416666666667,0.5069615790170567,0,Medium Risk
0,0,1,1,64,1,0,2,0,0,0,0,0,0,2,0,3,20.2,1277.75,1,19.657692307692308,0.009105851128503224,0,Low Risk
1,0,0,1,57,1,0,2,0,0,0,0,0,0,2,1,3,19.6,1170.55,1,20.181896551724137,0.015583609029632921,0,Low Risk
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,1,35.225,0.9450998044780762,1,High Risk
0,1,1,1,72,1,1,0,1,1,1,1,1,1,2,1,1,88.05,6425.65,7,88.02260273972603,0.039953948349069214,0,Low Risk
0,0,0,0,8,1,1,0,1,0,0,1,0,1,0,0,2,71.15,563.65,4,62.62777777777777,0.47372881732826816,1,Medium Risk
0,0,1,0,61,1,1,1,0,1,0,0,1,1,2,1,0,101.05,5971.25,4,96.31048387096774,0.32392801057224613,0,Medium Risk
1,0,0,0,64,1,1,1,1,1,0,0,0,0,1,1,1,84.3,5289.05,3,81.37,0.2207703965441038,0,Low Risk
1,1,1,0,71,1,1,2,0,0,0,0,0,0,2,0,0,23.95,1756.2,1,24.391666666666666,0.01161731957304765,0,Low Risk
0,0,1,1,65,1,1,1,1,1,0,1,1,0,2,1,1,99.05,6416.7,5,97.22272727272727,0.08720190808821482,0,Low Risk
1,0,0,0,3,1,0,2,0,0,0,0,0,0,1,0,3,19.6,61.35,1,15.3375,0.203374454992971,0,Low Risk
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65,1,22.825,0.785149870796072,1,High Risk
1,0,0,1,30,1,0,0,0,1,1,0,1,0,1,0,1,64.5,1929.95,4,62.25645161290323,0.10466923388225703,0,Low Risk
1,0,1,1,15,1,0,0,0,1,1,1,0,1,0,1,3,69.5,1071.4,5,66.9625,0.37397880959448493,0,Medium Risk
0,0,1,1,8,1,0,0,0,0,0,1,1,1,0,1,2,68.55,564.35,4,62.705555555555556,0.5631522583638798,0,Medium Risk
1,0,0,0,7,1,1,1,0,0,0,0,1,1,0,0,3,95.0,655.5,3,81.9375,0.8849729771773521,1,High Risk
0,0,1,1,70,1,1,1,1,1,1,0,1,1,1,1,1,108.15,7930.55,6,111.69788732394366,0.28961284771637613,0,Low Risk
1,0,1,1,62,1,0,0,1,1,1,1,1,1,2,0,2,86.1,5215.25,7,82.78174603174604,0.02482571837472831,0,Low Risk
0,0,1,1,6,1,0,2,0,0,0,0,0,0,0,0,3,19.7,113.5,1,16.214285714285715,0.30033362836240385,0,Medium Risk
0,0,1,1,14,1,0,1,0,0,0,0,0,1,0,1,0,80.9,1152.8,2,76.85333333333332,0.7077591406271564,0,High Risk
0,0,0,0,22,1,1,1,0,0,0,0,1,0,0,1,0,84.15,1821.95,2,79.21521739130435,0.7780245067548123,0,High Risk
1,0,1,1,22,1,0,2,0,0,0,0,0,0,1,0,3,20.15,419.9,1,18.256521739130434,0.08781280498696495,0,Low Risk
1,0,1,1,16,1,0,0,1,0,1,0,1,0,2,0,3,64.25,1024.0,4,60.23529411764706,0.06971787175985474,0,Low Risk
1,0,0,0,10,1,1,2,0,0,0,0,0,0,2,0,0,25.7,251.6,1,22.87272727272727,0.08044901195529189,0,Low Risk
0,0,0,1,13,1,0,0,1,1,0,0,0,0,0,1,2,56.0,764.55,3,54.61071428571428,0.2841992307108821,0,Low Risk
0,0,1,0,20,1,1,1,1,0,0,0,0,0,0,0,2,82.4,1592.35,2,75.82619047619048,0.6366245216580674,1,High Risk
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,135.2,1,45.06666666666666,0.8889281984998617,0,High Risk
1,0,0,0,53,1,1,0,0,1,1,1,0,1,2,1,0,73.9,3958.25,5,73.30092592592592,0.057758733928728594,0,Low Risk
0,0,1,1,11,1,0,2,0,0,0,0,0,0,1,0,3,20.6,233.9,1,19.491666666666667,0.12114970903144143,0,Low Risk
1,0,1,0,69,1,0,2,0,0,0,0,0,0,2,0,3,19.9,1363.45,1,19.477857142857143,0.010379219896843593,0,Low Risk
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,273.0,1,54.6,0.819954257870692,1,High Risk
1,0,1,0,72,1,1,0,1,1,1,1,1,1,2,1,0,89.05,6254.45,7,85.67739726027396,0.052470247982818165,0,Low Risk
1,1,1,0,58,0,2,0,0,1,1,0,0,1,0,1,2,45.3,2651.2,3,44.93559322033898,0.40704952270298894,1,Medium Risk
0,0,1,1,16,1,0,2,0,0,0,0,0,0,0,0,2,20.4,321.4,1,18.905882352941177,0.20758428527234907,0,Low Risk
1,0,1,0,43,1,0,1,1,0,1,1,0,0,1,1,0,84.25,3539.25,4,80.4375,0.1821818748808441,0,Low Risk
0,0,1,0,2,1,1,1,0,0,1,1,1,1,0,1,2,104.4,242.8,5,80.93333333333334,0.9250168430223814,1,High Risk
1,0,1,0,14,1,0,0,0,1,1,1,1,1,2,0,3,81.95,1181.75,6,78.78333333333333,0.1169659356966908,0,Low Risk
0,0,1,0,53,1,0,1,0,0,1,0,1,1,1,1,0,94.85,5000.2,4,92.59629629629629,0.4626470533263308,1,Medium Risk
0,0,0,0,32,1,0,2,0,0,0,0,0,0,1,0,0,20.55,654.55,1,19.834848484848482,0.06115335072831878,0,Low Risk
0,0,1,0,34,1,1,2,0,0,0,0,0,0,0,0,2,24.7,780.2,1,22.291428571428572,0.22601061027288938,0,Low Risk
0,1,0,0,15,1,1,1,0,0,0,0,0,0,0,1,3,74.45,1145.7,1,71.60625,0.7949739686427704,1,High Risk
0,1,0,0,7,1,0,1,1,0,0,0,0,0,0,0,0,76.45,503.6,2,62.95,0.6317165942554794,1,High Risk
0,0,1,1,15,1,1,1,0,1,1,0,1,1,0,1,0,105.35,1559.25,5,97.453125,0.7947249650642916,0,High Risk
1,0,1,0,61,1,0,2,0,0,0,0,0,0,1,1,1,20.55,1252.0,1,20.193548387096776,0.04328239727907284,0,Low Risk
0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,29.95,29.95,1,14.975,0.6907339121043052,1,High Risk
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,45.3,1,22.65,0.714623756981349,0,High Risk
1,0,0,0,8,1,1,1,0,0,0,0,0,1,0,0,0,84.5,662.65,2,73.62777777777778,0.7992861620866119,1,High Risk
1,0,1,1,33,1,0,0,1,0,1,0,1,1,1,0,1,74.75,2453.3,5,72.15588235294118,0.13076691175162267,0,Low Risk
0,0,0,0,13,1,0,1,0,1,1,0,0,0,0,1,2,79.25,1111.65,3,79.40357142857144,0.6065494799909166,1,High Risk
0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2,24.8,24.8,0,12.4,0.8365066958585055,1,High Risk
1,0,0,0,20,1,0,0,0,1,0,0,0,0,0,1,3,51.8,1023.85,2,48.75476190476191,0.45097251132457367,0,Medium Risk
1,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,2,30.4,82.15,1,20.5375,0.6264383152897831,0,High Risk
0,0,0,0,13,1,0,2,0,0,0,0,0,0,1,0,2,19.65,244.8,1,17.485714285714288,0.13209601488962375,0,Low Risk
0,0,1,0,40,1,1,0,0,1,0,0,0,0,0,0,1,56.6,2379.1,2,58.02682926829268,0.2643143993177679,0,Low Risk
1,0,1,1,43,1,1,0,1,0,0,1,0,1,1,1,1,71.9,3173.35,4,72.12159090909091,0.1282881187123211,0,Low Risk
1,0,1,0,6,1,0,1,0,1,1,0,0,1,0,1,2,91.0,531.0,4,75.85714285714286,0.8432762938683382,1,High Risk
0,0,1,1,69,1,0,2,0,0,0,0,0,0,2,0,0,19.75,1375.4,1,19.64857142857143,0.005738681220784069,0,Low Risk
0,0,1,1,72,1,1,1,1,1,1,0,1,1,2,0,1,109.7,8129.3,6,111.36027397260274,0.10526777657796647,0,Low Risk
1,0,1,1,59,1,0,2,0,0,0,0,0,0,2,0,1,19.3,1192.7,1,19.878333333333334,0.008381027764668815,0,Low Risk
0,0,1,0,20,1,0,1,1,1,0,1,1,0,0,1,2,96.55,1901.65,5,90.5547619047619,0.5750097915273069,0,Medium Risk
1,0,1,1,24,1,1,2,0,0,0,0,0,0,2,1,0,24.1,587.4,1,23.496,0.05634630424450957,0,Low Risk
1,0,0,0,59,1,1,1,0,1,1,1,1,1,0,1,2,111.35,6519.75,6,108.6625,0.6790618579008051,0,High Risk
1,0,1,1,72,1,1,1,0,1,1,1,1,1,2,1,0,112.25,8041.65,6,110.15958904109588,0.17512899256259645,0,Low Risk
